symbol,content
AAT,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust. Its portfolio is comprised of retail shopping centers; office properties; a mixed-use property and a retail shopping center; and multifamily properties. The company operates through four segments: Retail, Office, Multifamily and Mixed-Use. The Retail segment includes rental of retail space. The Office segment includes rental of office space. The Multifamily segment includes rental of apartments. The Mixed-Use segment includes rental of retail space and other tenant services. American Assets Trust was founded on July 16, 2010 and is headquartered in San Diego, CA"
AAWW,"Atlas Air Worldwide Holdings, Inc. is a holding company, which engages in the provision of outsourced aircraft and aviation operating services. It operates through the following business segments: ACMI, Charter, and Dry Leasing. The ACMI segment involves in providing aircraft, crew, maintenance, and insurance services to customers. The Charter segment offers planeload air cargo and passenger aircraft charters to customers, including the brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers. The Dry Leasing segment includes leasing of aircraft and engines to customers. The compnay was founded by Michael Chowdry in 1993 and is headquartered in Purchase, NY."
AB,"AllianceBernstein Holding LP engages in the provision of diversified, global investment management to institutional, high net-worth and retail clients. Its products involves mutual funds, hedge funds, investment trusts, separately managed accounts and other investment vehicle products. It also provides research, sub-advisory, portfolio strategy, brokerage services and a broad range of investment products and services to clients. The company was founded in October 2000 and is headquartered in New York, NY."
ABAX,"ABAXIS, Inc. develops, manufactures and markets portable blood analysis systems. It operates through the following segments: Medical Market and Veterinary Market. The Medical Market segment serves a worldwide customer group consisting of military installations, physicians&#x27; office practices across all specialties, urgent care, outpatient and walk-in clinics health screening operations, home care providers, nursing homes, ambulance companies, oncology treatment clinics, dialysis centers, pharmacies and hospital labs. The Veterinary Market segment serves a customer group consisting of companion animal hospitals, animal clinics with mixed practices of small animals, birds and reptiles, equine and bovine practitioners, veterinary emergency clinics, veterinary referral hospitals, universities, government, pharmaceutical companies, biotechnology companies and private research laboratories. The company was founded by Vladimir E. Ostoich in April 1989 and is headquartered in Union City, CA."
ABBV,"AbbVie, Inc. is a research-based biopharmaceutical company. It engages in the discovery, development, manufacture and sale of a broad line of proprietary pharmaceutical products. The company focused on treating conditions such as chronic autoimmune diseases in rheumatology, gastroenterology and dermatology; oncology, including blood cancers; virology, including hepatitis C and human immunodeficiency virus; neurological disorders, such as Parkinson&#x27;s disease; metabolic diseases, including thyroid disease and complications associated with cystic fibrosis; as well as other serious health conditions. The company was founded on January 1, 2013 and is headquartered in North Chicago, IL."
ABC,"AmerisourceBergen Corp. is a pharmaceutical sourcing and distribution services company. It serves as a healthcare, pharmaceutical and biotech manufacturers to improve patient access to products and enhance patient care. The company operates through two segments: Pharmaceutical Distribution and Other. The Pharmaceutical Distribution segment provides drug distribution and related services designed to reduce healthcare costs and improve patient outcomes through AmerisourceBergen Drug Corp. and AmerisourceBergen Specialty Group. The Other segment is comprised of AmerisourceBergen Consulting Services, World Courier Group, Inc. and MWI Veterinary Supply, Inc. AmerisourceBergen was founded on August 28, 2001 and is headquartered in Chesterbrook, PA."
ABCB,"Ameris Bancorp is a bank holding company, which through its subsidiary, Ameris Bank, engages in the provision of banking services to its retail and commercial customers. It operates through the following divisions: Banking, Retail Mortgage, Warehouse Lending, and the SBA. The Banking division offers full service financial services to include commercial loans, consumer loans and deposit accounts. The Mortgage includes origination, sales, and servicing of one-to-four family residential mortgage loans. The Warehouse Lending division includes the origination and servicing of warehouse lines to other businesses that are secured by underlying one-to-four family residential mortgage loans. The SBA comprises of origination, sales, and servicing of small business administration loans. The company was founded on December 18, 1980 and is headquartered in Moultrie, GA."
ABCD,"Cambium Learning Group, Inc. engages in the provision of educational solutions and services. It operates through the following business segments: Learning A-Z, Voyager Sopris Learning, ExplorLearning, and Other. The Learning A-Z segment is a PreK-6 education technology which provides digital resources and tools which supports instruction and student growth in reading, writing, and science. The Voyager Sopris Learning segment refers to the Voyager Sopris Learning and Kurzweil Education brands which offers technology, materials, and professional development for educators. The ExplorLearning segment is the development of STEM-based curriculum tools in the field of math and science. The company was founded in June 2009 and is headquartered in Dallas, TX."
ABCO,"The Advisory Board Co. engages in the provision of performance improvement software and solutions to the health care and higher education industries. Its education programs support colleges and universities in enrollment management, academic programming and student learning, faculty recruitment and retention, student advising, alumni affairs and college and university operations. The company was founded by David G. Bradley in 1979 and is headquartered in Washington, DC."
ABDC,"Alcentra Capital Corp. is a business development company that invests in middle market companies headquartered in North America. The fund focuses on companies with EBITDA of $5 to $15 million, revenues of $10 to $100 million, experienced management teams, unique competitive advantage, and growth potential. It targets companies operating in the fields of healthcare, business services, defense, government services, telecom and technology, media, infrastructure maintenance and logistics, oil and gas services, and other businesses with a unique competitive advantage. It provides financing in the form of senior debt, unitranche, second lien, subordinated debt and, to a lesser extent, senior debt and minority equity investments with an investment size ranging from $5 to $15 million per transaction. It also makes co-investments with partners in larger transactions."
ABG,"Asbury Automotive Group, Inc. operates as an automotive retailers and services company. It offers a range of automotive products and services, including new and used vehicles; vehicle maintenance, replacement parts and collision repair services; new and used vehicle financing; and aftermarket products such as insurance, warranty and service contracts. The company was founded in 1995 and is headquartered in Duluth, GA."
ABIO,"ARCA biopharma, Inc. is a biopharmaceutical company, which develops genetically targeted therapies for heart failure and other cardiovascular diseases. The company&#x27;s business combines expertise in cardiovascular pathophysiology, molecular genetics and clinical development. Its product candidate, GencaroTM is a pharmacologic beta-blocker and mild vasodilator, which is developed for the treatment of chronic heart failure and other indications. The company was founded by Michael R. Bristow and Christopher David Ozeroff in 1992 and is headquartered in Westminster, CO."
ABM,"ABM Industries, Inc. engages in the provision of facility services for commercial, industrial, and institutional buildings. It operates trough the following segments: Business and Industry, Aviation, Emerging Industries Group, Technical Solutions, and Government Services. The Business and Industry segment offers janitorial, facilities engineering, and parking services to commercial real estate industries. The Aviation segment includes services supporting airlines and airports. The Emerging Industries Group segment encompasses janitorial, facilities engineering, and parking services for education, high tech, and healthcare industries. The Technical Solutions segment involves in providing mechanical and electrical services. The Government Services segment comprises of construction management; energy efficiency upgrades; healthcare support; leadership development; military base operations, and mission support services. The company was founded by Morris Rosenberg in 1909 and is headquartered in New York, NY."
ABMD,"ABIOMED, Inc. engages in the research, development, manufacture, and sale of cardiac support, recovery, and replacement devices. It distributes its products under the Impella brand. The company was founded in 1981 and is headquartered in Danvers, MA."
ABR,"Arbor Realty Trust, Inc. is a real estate investment trust, which engages in the provision of loan origination and servicing for multifamily, seniors housing, healthcare, and diverse commercial real estate assets. It operates through the Structured and Agency Business segments. The Structured Business segment offers structured loan origination and investment services. The Agency Business segment involves in agency loan origination and servicing. The company was founded in June 2003 and is headquartered in Uniondale, NY."
ABT,"Abbott Laboratories engages in the discovery, development, manufacture and sale of a broad and diversified line of health care products. It operates through the following segments: Established Pharmaceutical Products, Nutritional Products, Diagnostic Products, and Vascular Products. The Established Pharmaceutical Products segment refers to the international sales of a line of branded generic pharmaceutical products. The Nutritional Products segment caters to the worldwide sales of adult and pediatric nutritional products. The Diagnostic Products segment markets diagnostic systems and tests for blood banks, hospitals, commercial laboratories and alternate-care testing sites. The Vascular Products segment trades coronary, endovascular, structural heart, vessel closure and other medical device products. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL."
ABTL,"Autobytel, Inc. provides high quality consumer leads and associated marketing services to automotive dealers and manufacturers throughout the United States. It also provides consumers with robust and original online automotive content to help them make informed car-buying decisions. Autobytel was founded by John C. Bedrosian and Peter R. Ellis and in January 1995 and is headquartered in Irvine, CA."
ACAD,"ACADIA Pharmaceuticals, Inc. engages in the research, development and manufacture of pharmaceutical products. It focuses on the development and commercialization of innovative medicines to address unmet medical needs in central nervous system disorders. The company was founded by Mark R. Brann on July 16, 1993 and is headquartered in San Diego, CA."
ACC,"American Campus Communities, Inc. engages in the development, owning, and managing student housing communities. It operates through the following segments: Wholly-Owned Properties, On-Campus Participating Properties, Development Services, and Property Management Services. Wholly-Owned Properties segment refers to off-campus properties which are generally located in close proximity to the school campus. The On-Campus Participating Properties segment includes five on-campus properties which are operated under long-term ground or facility leases with university systems. The Development Services segment is consist of development and construction management services that the company provide through taxable real estate investment trust subsidiaries for third-party owners. The Property Management Services segment is comprised of marketing, leasing administration, facilities maintenance, business administration, accounts payable, accounts receivable, financial reporting, capital projects, and residence life student development. The company was founded by William C. Bayless in 1993 and is headquartered in Austin, TX."
ACCO,"ACCO Brands Corp. engages in the manufacture and marketing of office, school, calendar products and select computer and electronic accessories. It operates through the followings segments: ACCO Brands North America and ACCO Brands International and Computer Products Group. The ACCO Brands North America segment manufactures, sources, and sells traditional office products, school supplies, and calendar products and is comprised of the U.S. and Canada. The ACCO Brands International segments manufactures, sources, and sells traditional office products, school supplies, and calendar products, and comprises the rest of the world, primarily Northern Europe, Brazil, Australia, and Mexico. The Computer Products Group segment designs, sources, distributes, markets, and sells accessories for laptop and desktop computers and tablets. The company was founded on August 17, 2005 and is headquartered in Lake Zurich, IL."
ACET,"Aceto Corp. engages in the development, marketing, sales, and distribution of chemical compounds used in the pharmaceutical, nutraceutical, agricultural, coatings, and industrial chemical industries. It operates through the following segments: Human Health, Pharmaceutical Ingredients and Performance Chemicals. The Human Health segment develops and sells finished dosage form generic drugs and nutraceutical products. The Pharmaceutical Ingredients segment supplies active pharmaceutical ingredients and pharmaceutical intermediates. The Performance Chemicals segment comprises of specialty chemicals and agricultural protection products. The company was founded in 1947 and is headquartered in Port Washington, NY."
ACFC,"Atlantic Coast Financial Corp. operates as a bank holding company for Atlantic Coast Bank. Through the bank, it offers a range of products and services such as deposits such as noninterest-bearing and interest-bearing demand, savings and money market demand, as well as time deposit accounts with terms ranging from three months to five years; and investments in loans, including commercial real estate, consumer loans, first mortgages on owner-occupied one-to four-family residences, and home equity loans. The company was founded on June 22, 2007 and is headquartered in Jacksonville, FL."
ACFN,"Acorn Energy, Inc. is a holding company, which engages in the provision of nan technology driven solutions for energy infrastructure asset management through its subsidiaries. It operates through the following segments: Energy and Security Sonar Solutions; Smart Grid Distribution Automation, and Machine-to-Machine Critical Asset Monitoring and Control. The Energy and Security Sonar Solutions segment involves in providing sonar and acoustic related solutions for energy, defense, and commercial markets. The Smart Grid Distribution Automation segment offers developing, marketing, and selling remote monitoring and control systems to electric utilities and industrial facilities. The Machine-to-Machine Critical Asset Monitoring and Control segment includes remote diagnostics and prognostics that give real-time visibility of the equipment and assets. The company was founded by George Morgenstern in 1986 and is headquartered in Greenville, DE."
ACHC,"Acadia Healthcare Co., Inc. acquires and develops behavioral healthcare facilities. The company&#x27;s principal business is to develop and operate inpatient psychiatric facilities, residential treatment centers, group homes, substance abuse facilities and facilities providing outpatient behavioral health services to better serve the behavioral health and recovery needs of communities throughout the United States. The company was founded in December 2005 and is headquartered in Franklin, TN."
ACHN,"Achillion Pharmaceuticals, Inc. engages in the research and development of small molecule drug therapies for infectious diseases and immune system disorders. It intends to commercialize its anti-viral medicines for the treatment of hepatitis C and resistant bacterial infections. The company was founded on August 17, 1998 and is headquartered in New Haven, CT."
ACIW,"ACI Worldwide, Inc. engages in the development, market, and installation of software products and services related to electronic payment process. It operates through the following geographical segments: Americas, Europe/Middle East/Africa, and Asia/Pacific. It offers payments infrastructure, retail banking, merchant retail, payments risk management, bills and immediate payments. The company was founded in 1975 and is headquartered in Naples, FL."
ACLS,"Axcelis Technologies, Inc. engages in the design, manufacture and service of dry strip, ion implantation and other processing equipment used in the fabrication of semiconductor chips. The company provides service and support, including spare parts, equipment upgrades, maintenance services and customer training. Its products include Purion H, which is next generation single wafer high current implanter; Optima HDx, is designed to maximize beam current, minimize beam setup time and deliver productive process across the applications space; Purion XE, is next generation single wafer high energy implanter, it is the second tool in the expanding family of Purion ion implanters; Optima XEx, includes implant energies matched to meet the changing needs of today&#x27;s advanced device manufacturing; Paradigm XE, offers implant energies matched to meet the changing needs of advanced logic and memory manufacturing; and Purion M, is a low energy, medium current ion implanter for all channel engineering applications in the low dose and mid dose regimes. The company also sells its equipment and services through direct sales, distributors, and manufacturing representatives. Axcelis Technologies was founded in 1978 and is headquartered in Beverly, MA."
ACM,"AECOM engages in the design, build, finance, and operation of infrastructure assets for governments, businesses and organizations. It operates through the following segments: Design and Consulting Services, Construction Services, and Management Services. The Design and Consulting Services is the planning, consulting, architectural and engineering design services to commercial and government clients worldwide in major end markets such as transportation, facilities, environmental, energy, water, and government. The Construction Services includes building construction and energy, and nan infrastructure and industrial construction. The Management Services segment refers to the program and facilities management and maintenance, training, logistics, consulting, technical assistance, and systems integration and information technology services primarily for agencies of the U.S. government and other national governments globally. The company was founded by Richard G. Newman on April 6, 1990 and is headquartered in Los Angeles, CA."
ACNB,"ACNB Corp. operates as a bank holding company for ACNB Bank. It is engaged in providing banking and financial services to individuals and businesses, including commercial and retail banking, trust and investment management, and insurance through its banking and nonbanking subsidiaries. The company&#x27;s commercial lending services include commercial mortgages, real estate development and construction, accounts receivable and inventory financing, and agricultural loans. Its consumer lending programs include home equity loans and lines of credit, automobile and recreational vehicle loans, manufactured housing loans, and personal lines of credit. The company&#x27;s lending programs include personal residential mortgages, residential construction loans, and investment mortgage loans. It offers deposit, online banking, online bill payment and presentment, telephone banking, debit cards cash management, merchant services, consumer, student, auto, home equity, mortgage and business loans. The company was founded in 1982 and is headquartered in Gettysburg, PA."
ACOR,"Acorda Therapeutics, Inc. develops and markets therapeutic products for nervous system disorders. The company&#x27;s two main products are Ampyra and Zanaflex Capsules. The Ampyra is an oral drug, which treats to improve walking in patients with multiple sclerosis and Zanaflex Capsules, which is a short acting drug for the management of spasticity, a symptom of many central nervous system disorders, including multiple sclerosis and spinal cord injury. Acorda Therapeutics was founded by Ronald Cohen in 1995 and is headquartered in Ardsley, NY."
ACRE,"Ares Commercial Real Estate Corp. acts as Private Equity Fund. The company was founded in 1997 and Michael J. Arougheti and is headquartered in Atlanta, GA."
ACRX,"AcelRx Pharmaceuticals, Inc. is a specialty pharmaceutical company, which engages in the development and commercialization of innovative therapies for the treatment of moderate-to-severe acute pain. Its product candidates is comprised of DSUVIA, and ZALVISO, which both contains sufentanil as a therapeutic ingredient. The company was founded by Thomas A. Schreck and Pamela P. Palmer on July 13, 2005 and is headquartered in Redwood City, CA."
ACSF,American Capital Senior Floating Ltd is a traded fund that invests in large market companies located in the US. It provides financing in the form of first lien and second lien floating rate loans and equity tranches of collateralized loan obligations primarily by leveraged loans.
ACTA,"Actua Corp. engages in the owning and operating cloud-based software and services businesses with recurring revenue streams that improve the productivity and efficiency of business customers. The company operates through two segments: Vertical Cloud and Vertical Cloud. The Vertical Cloud segment includes those businesses in which the company&#x27;s management takes a very active role in providing strategic direction and operational support and towards which it expect to devote relatively large proportions of the company&#x27;s personnel, financial capital and other resources. The Venture cloud segment includes companies in which it take a less active role in terms of strategic direction and operational support, and accordingly, towards which the company devote relatively small amounts of personnel, financial capital and other resources. The company was founded by Walter W. Buckley, III on March 4, 1996 and is headquartered in Wayne, PA."
ACTG,"Acacia Research Corp. engages in the acquisition, development, and patents technologies through its subsidiaries. Its operating subsidiaries assist patent owners with the prosecution and development of their patent portfolios, the protection of their patented inventions from unauthorized use, the generation of licensing revenue from users of their patented technologies and, if necessary, with the enforcement against unauthorized users of their patented technologies. The company was founded on January 25, 1993 and is headquartered in Newport Beach, CA."
ACU,"Acme United Corp. engages in the supply of cutting devices, measuring, first aid. and sharpening products to the to the school, home, office, hardware, sporting goods, and industrial markets. The firm operates its business through the following segments: Unites States. Canada, and Europe. nan Its products include scissors, shears, knives, rulers, pencil sharpeners, first aid kits, and related products. The company was founded in 1867 and is headquartered in Fairfield, CT."
ACUR,"Acura Pharmaceuticals, Inc. operates as a pharmaceutical company, which engages in the research, development and commercialization of products intended to address medication abuse and misuse, utilizing its proprietary aversion and impede technologies. It operates its business through the research, development, and manufacture of innovative abuse deterrent, orally administered pharmaceutical products. The company was founded in 1935 and is headquartered in Palatine, IL."
ACXM,"Acxiom Corp. engages in marketing database and business intelligence development. It operates through the following segments: Connectivity, Audience Solutions, and Marketing Services. The Connectivity segment activates data and makes it portable across the open marketing ecosystem. The Audience Solutions segment assists clients validate the accuracy of their people-based data, The Marketing Services segment helps clients unify data at the individual level in a privacy-safe environment and use it to achieve data-driven results. The company was founded in 1969 and is headquartered in Conway, AR."
ACY,"AeroCentury Corp. is an aircraft operating lessor and finance company which specializes in leasing regional turboprop and jet aircraft and engines to regional air carriers. Its assets consist of a variety of aircraft and engines, which are on lease to regional airlines and other commercial users in North America, Europe, Africa, Asia, and Australia. The company was founded in 1997 and is headquartered in Burlingame, CA."
ADAT,"Authentidate Holding Corp. engages in the development and provision of software applications for the healthcare sector. It offers telehealth solutions, remote patient monitoring, hospital discharge planning, and referral management. It operates under the Inscrybe trademark. The company was founded in August 1985 and is headquartered in Berkeley Heights, NJ."
ADBE,"Adobe Systems, Inc. engages in the provision of digital marketing and digital media solutions. It operates through the following segments: Digital Media, Digital Marketing, and Print and Publishing. The Digital Media segment offers creative cloud services, which allow members to download and install the latest versions of products, such as Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Adobe Photoshop Lightroom and Adobe InDesign, as well as utilize other tools, such as Adobe Acrobat. The Digital Marketing segment offers solutions, including analytics, social marketing, targeting, media optimization, digital experience management, and cross-channel campaign management, as well as premium video delivery and monetization. The Print and Publishing segment offers legacy products and services for eLearning solutions, technical document publishing, web application development, and high-end printing. The company was founded by Charles M. Geschke and John E. Warnock in December 1982 and is headquartered in San Jose, CA."
ADC,"Agree Realty Corp. is a real estate investment trust, which focuses on the ownership, development, acquisition and management of retail properties net leased to national tenants. It specializes in acquiring and developing net leased retail properties for industry leading retail tenants. The company was founded by Richard Agree in 1971 and is headquartered in Bloomfield Hills, MI."
ADI,"Analog Devices, Inc. engages in the design, manufacture, and market of analog, mixed-signal, and digital signal processing integrated circuits used in virtually all types of electronic equipment. It offers data converters; amplifiers and linear products; radio frequency integrated circuits; power management products; sensors based on microelectro mechanical systems technology; and other sensors and processing products, including digital signal processing and other processors. The company was founded by Raymond P. Stata and Matthew Lorber in 1965 and is headquartered in Norwood, MA."
ADK,"AdCare Health Systems, Inc. operates as a healthcare real estate investment company that invests primarily in real estate purposed for long-term care and senior living. Its business consists of leasing and subleasing such facilities to tenants, which operate the facilities. Its facilities provide a range of healthcare and related services for both long-term and short-stay patients and residents. The company was founded by David A. Tenwick, J. Michael Williams and Gary L. Wade on August 14, 1991 and is headquartered in Suwanee, GA."
ADM,"Archer-Daniels-Midland Co. processes oilseeds, corn, wheat, cocoa and other agricultural commodities. The company operates through the following segments: Oilseeds Processing, Corn Processing, Wild Flavors &amp; Specialty Ingredients and Agricultural Services. The Oilseeds Processing segment includes activities related to the origination, merchandising, crushing, and further processing of oilseeds such as soybeans and soft seeds, such as cottonseed, sunflower seed, canola, rapeseed, and flaxseed into vegetable oils and protein meals. The Corn Processing segment engages in corn wet milling and dry milling activities; and also converts corn into sweeteners, starches, and bioproducts. The Wild Flavors and Specialty Ingredients segment manufactures, sells, and distributes specialty products including natural flavor ingredients, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, natural health and nutrition products, other specialty food, and feed ingredients. The Agricultural Services segment utilizes its extensive United States grain elevator and global transportation network to buy, store, clean, and transport agricultural commodities, such as oilseeds, corn, wheat, milo, oats, rice and barley. It resells these commodities primarily as food and feed ingredients and as raw materials for the agricultural processing industry. Archer-Daniels-Midland was founded in 1902 and is headquartered in Chicago, IL."
ADMA,"ADMA Biologics, Inc. is a biopharmaceutical company, which engages in the development and commercialization of human plasma and plasma-derived therapeutics. It operates through the Plasma Collection Center and Research and Development segments. The Plasma Collection Center segment comprises of operations in Georgia. The Research and Development segment involves plasma development operations in New Jersey. The company&#x27;s targeted patient populations include immune-compromised individuals who suffer from an underlying immune deficiency disease or who may be immune-suppressed for medical reasons. The company was founded by Adam S. Grossman and Jerrold B. Grossman on June 2, 2006 and is headquartered in Hackensack, NJ."
ADMP,"Adamis Pharmaceuticals Corp. is a pharmaceutical company engages in the provision of medical development. Its activities include the combination of specialty pharmaceuticals and biotechnology to produce medicines for patients, and physicians. It focuses on products such as inhaler technology in the field of allergy and respiratory diseases. The company was founded on April 1, 2009 and is headquartered in San Diego, CA."
ADMS,"Adamas Pharmaceuticals, Inc. operates as a pharmaceutical company, which engages in discovering chrono-synchronous therapies. It involves in the development and commercialization of therapeutics targeting chronic disorders of the central nervous system. The company was founded by Gregory T. Went on November 15, 2000 and is headquartered in Emeryville, CA."
ADP,"Automatic Data Processing, Inc. provides business outsourcing solutions. It operates through the following segments: Employer Services and Professional Employer Organization Services. The Employer Services segment offers business outsourcing and human capital management solutions, including payroll, benefits administration, talent management, human resources management, time and attendance management, insurance, retirement and compliance &amp; payment. The Professional Employer Organization Services segment provides employment administration outsourcing solutions through a co-employment relationship, including payroll, payroll tax filing, HR guidance, 401(k) plan administration, benefits administration, compliance services, health and worker&#x27;s compensation coverage and other supplemental benefits for employees. The company was founded by Henry Taub in 1949 and is headquartered in Roseland, NJ."
ADRO,"Aduro BioTech, Inc. operates as a clinical-stage immunotherapy company, which focuses on the discovery, development and commercialization of therapies that transform the treatment of challenging diseases. Its technology platforms include LADD, STING Pathway Activator and B-select monoclonal antibodies. The company was founded in 2000 and is headquartered in Berkeley, CA."
ADS,"Alliance Data Systems Corp. engages in the provision of data-driven and transaction-based marketing and customer loyalty solutions. The company operates through the business segments: LoyaltyOne, Epsilon, and Private Label Services and Credit. The LoyaltyOne segment provides marketing services and also designs, builds, and maintains both standalone loyalty programs for individual clients, and coalition loyalty programs, including the AIR MILES Reward Program. The Epsilon segment offers integrated direct marketing solutions that combine database marketing technology and analytics with a broad range of direct marketing services, including email marketing campaigns. The Private Label Services and Credit segment comprises of risk management solutions, account origination, funding, transaction processing, customer care, and collections services for the company&#x27;s private label retail credit card programs. Its primary markets include retail, financial services, hospitality, healthcare, consumer packaged goods, grocery, and pharmaceutical. The company was founded in 1996 and is headquartered in Plano, TX."
ADSK,"Autodesk, Inc. engages in the designing and developing multimedia software products. It includes Autodesk 360 cloud services, AutoCAD civil 3D and LT, 3Ds Max, Maya, and Revit. The company was founded by John Walker in April 1982 and is headquartered in San Rafael, CA."
ADTN,"ADTRAN, Inc. is engaged in the provision of networking and communications equipment. It operates through following business segments: Carrier Networks and Enterprise Networks. The Carrier Networks segment offers broadband and optical infrastructure products and services used by service providers to deliver voice, data and video services to their customers&#x27; premises and to mobile network cell sites. The Enterprise Networks segment engages in the provision of cloud connectivity solutions. The company was founded in November 1985 and is headquartered in Huntsville, AL."
ADUS,"Addus HomeCare Corp. engages in the provision of in-home personal care services. The firm offers assistance with bathing; grooming; oral care; skincare; feeding and dressing; medication reminders; meal planning and preparation; housekeeping and transportation services; and other activities of daily living. It also provides veteran care services. The company was founded on July 27, 2006 and is headquartered in Downers Grove, IL."
