symbol,content
AAWW,"Atlas Air Worldwide Holdings, Inc. is a holding company. The Company provides outsourced aircraft and aviation operating services throughout the world, serving Africa, Asia, Australia, Europe, the Middle East, North America and South America through contractual service arrangements, including those through which it provides aircraft to customers and value-added services, including crew, maintenance and insurance (ACMI), as well as those through which it provides crew, maintenance and insurance, but not the aircraft (CMI); cargo and passenger charter services (Charter), and dry leasing aircraft and engines (Dry Leasing). The Company's segments include ACMI, Charter and Dry Leasing. As of December 31, 2016, the Company operated fleet of 747 freighters and provided customers a range of 747, 777, 767, 757 and 737 aircraft for domestic, regional and international cargo and passenger applications. Its subsidiaries include Atlas Air, Inc. (Atlas) and Southern Air, Inc. (Southern Air)."
AB,"AllianceBernstein Holding L.P. is engaged in providing research, investment management and related services to a range of clients through its three buy-side distribution channels: Institutions, Retail and Private Wealth Management, and its sell-side business, Bernstein Research Services. The Company offers a range of investment services, including equity strategies, with global and regional portfolios across capitalization ranges and investment strategies, including value, growth and equities; traditional and unconstrained fixed income strategies, including taxable and tax-exempt strategies; passive management, including index and enhanced index strategies; alternative investments, including hedge funds, fund of funds and private equity, and multi-asset solutions and services, including dynamic asset allocation, customized target-date funds and target-risk funds. The Company's services span various investment disciplines, including market capitalization, term and geographic locations."
ABAX,"Abaxis, Inc. is a developer, manufacturer and marketer of portable blood analysis systems that are used in medical specialties in human or veterinary patient care to provide clinicians with blood constituent measurements. The Company markets and sells its products around the world through independent distributors and direct sales force. The Company's segments are the medical market and the veterinary market. The Company's medical market products include Piccolo chemistry analyzers and consumable products. The Company develops, manufactures and sells the Piccolo Xpress chemistry analyzer for use in human patient care to provide clinicians with blood constituent measurements. The Company's veterinary market product offerings include VetScan chemistry analyzers and veterinary reagent discs, VetScan hematology instruments and related reagent kits, VetScan VSpro specialty analyzers and related consumables, VetScan i-STAT analyzers and related consumables and VetScan rapid tests."
ABBV,"AbbVie Inc. (AbbVie) is a research-based biopharmaceutical company. The Company is engaged in the discovery, development, manufacture and sale of a range of pharmaceutical products. Its products are focused on treating conditions, such as chronic autoimmune diseases in rheumatology, gastroenterology and dermatology; oncology, including blood cancers; virology, including hepatitis C virus (HCV) and human immunodeficiency virus (HIV); neurological disorders, such as Parkinson's disease and multiple sclerosis; metabolic diseases, including thyroid disease and complications associated with cystic fibrosis, and other serious health conditions. It offers products in various categories, including HUMIRA (adalimumab), Oncology products, Virology Products, Additional Virology products, Metabolics/Hormones products, Endocrinology products and other products, which include Duopa and Duodopa (carbidopa and levodopa), Anesthesia products and ZINBRYTA (daclizumab)."
ABC,"AmerisourceBergen Corporation is a pharmaceutical sourcing and distribution services company. The Company's segments include Pharmaceutical Distribution and Other. The Company provides services to healthcare providers, and pharmaceutical and biotech manufacturers. As of June 30, 2016, the Pharmaceutical Distribution segment consists of two operating segments, including the operations of AmerisourceBergen Drug Corporation (ABDC) and AmerisourceBergen Specialty Group (ABSG), which distributes specialty drugs to their customers. Servicing healthcare providers in the pharmaceutical supply channel, the Pharmaceutical Distribution segment's operations provide drug distribution and related services. The Other segment consists of the operations of various segments, including the AmerisourceBergen Consulting Services (ABCS), the World Courier Group, Inc. and the MWI Veterinary Supply, Inc. ABSG operates distribution facilities that focus primarily on complex disease treatment regimens."
ABCB,"Ameris Bancorp is a financial holding company. The Company's business is conducted through its banking subsidiary, Ameris Bank (the Bank), which provides a range of banking services to its retail and commercial customers. The Company operates through four segments: the Banking Division, the Retail Mortgage Division, the Warehouse Lending Division and the SBA Division. The Banking Division is engaged in the delivery of financial services, which include commercial loans, consumer loans and deposit accounts. The Retail Mortgage Division is engaged in the origination, sales and servicing of one- to four-family residential mortgage loans. The Warehouse Lending Division is engaged in the origination and servicing of warehouse lines to other businesses that are secured by underlying one- to four-family residential mortgage loans. The SBA Division is engaged in the origination, sales and servicing of small business administration (SBA) loans."
ABCD,"Cambium Learning Group, Inc. is an educational solutions and services company. The Company's product lines include Learning A-Z (www.learninga-z.com), ExploreLearning (www.explorelearning.com), Voyager Sopris Learning (www.voyagersopris.com) and Kurzweil Education (www.kurzweiledu.com). It operates through three segments: Learning A-Z, Voyager Sopris Learning and ExploreLearning. The product lines provide technology solutions for online learning and professional support; intervention and supplemental instructional materials; professional development and school-improvement services; valid assessments, and materials. Learning A-Z is a preK-6 educational technology provider of digitally delivered resources and tools that support instruction and student growth in reading, writing, and science. Voyager Sopris Learning segment includes its Voyager Sopris Learning and Kurzweil Education brands. ExploreLearning develops online solutions to improve student learning in math and science."
ABCO,"The Advisory Board Company is a provider of software and solutions to the healthcare and higher education industries. The Company offers subscription-based membership programs, software and data-enabled services. All of its programs are rooted in best practices and extends across four areas, including Best practices research, Technology, Data-enabled services and Consulting services. The best practices research and insight programs provide the foundation for all of its other programs. The Company offers technology analytics programs anchored by cloud-based software applications that surface performance improvement opportunities to accelerate progress. Through its consulting services, the Company provides on-the-ground support for performance improvement initiatives, as well as best practice professional management of areas of the hospital or medical group. The Company's data-enabled services are primarily focused in the area of enrollment management."
ABDC,"Alcentra Capital Corporation is a specialty finance company that operates as a non-diversified, closed-end management investment company. The Company operates as a business development company and a regulated investment company. It provides customized debt and equity financing solutions to lower middle-market companies, which are companies having annual earnings, before interest, taxes, depreciation and amortization of between $5 million and $15 million, and/or revenues of between $10 million and $100 million. Its investments range in size from $5 million to $15 million. Its investment objective is to generate both current income and capital appreciation primarily by making direct investments in lower middle-market companies in the form of senior debt, unitranche, second lien, subordinated debt and, to a lesser extent, senior debt and minority equity investments. Its investment focus is to make loans to, and selected equity investments in, privately-held lower-middle-market companies."
ABG,"Asbury Automotive Group, Inc. is an automotive retailer in the United States. As of December 31, 2016, the Company owned and operated 93 new vehicle franchises, representing 28 brands of automobiles at 77 dealership locations, and 23 collision centers in the United States. In addition, as of December 31, 2016, it owned and operated two standalone used vehicle stores in Florida. Its stores offer automotive products and services, including new and used vehicles; parts and service, including vehicle repair and maintenance services, replacement parts, and collision repair services; and finance and insurance products, including arranging vehicle financing through third parties and aftermarket products, such as extended service contracts, guaranteed asset protection (GAP) insurance, prepaid maintenance, and credit life and disability insurance. Its new vehicle revenues include new vehicle sales and lease transactions arranged by dealerships with third-party financial institutions."
ABIO,"ARCA biopharma, Inc. (ARCA) is a biopharmaceutical company. The Company is principally focused on developing genetically-targeted therapies for cardiovascular diseases. The Company's lead product candidate is Gencaro (bucindolol hydrochloride), a beta-blocker and mild vasodilator that the Company is evaluating in a clinical trial for the treatment of atrial fibrillation (AF) in patients with heart failure with reduced left ventricular ejection fraction (HFREF). Gencaro is considered part of the beta-blocker class of compounds because of its property of blocking both beta-1 and beta-2, receptors in the heart. The blocking of these receptors prevents the receptor from binding with other molecules, primarily the neurotransmitter norepinephrine (NE), which activate these receptors. The Company is conducting a Phase IIB/III clinical trial of Gencaro, known as GENETIC-AF."
ABM,"ABM Industries Incorporated is a provider of integrated facility solutions. The Company operates through five segments: Janitorial, Facility Services, Parking, Building & Energy Solutions, and other. Its Janitorial segment provides a range of cleaning services for commercial office buildings, data centers, educational institutions, government buildings, health facilities, industrial buildings, retail stores, sport event facilities and transportation hubs. Its Facility Services segment provides onsite mechanical engineering and technical services and solutions relating to a range of facilities and infrastructure systems. Its Parking segment provides parking and transportation services. Its Building & Energy Solutions segment provides energy solutions; electrical; heating, ventilation and air conditioning; lighting, and other general maintenance and repair services for clients. Its other segment provides facility solutions to airlines and airports."
ABMD,"ABIOMED, Inc. is a provider of temporary percutaneous mechanical circulatory support devices. The Company offers care to heart failure patients. The Company operates in the segment of the research, development and sale of medical devices to assist or replace the pumping function of the failing heart. The Company develops, manufactures and markets products that are designed to enable the heart to rest, heal and recover by improving blood flow to the coronary arteries and end-organs and/or temporarily performing the pumping function of the heart. The Company's product portfolio includes the Impella 2.5, Impella CP, Impella RP, Impella LD, Impella 5.0 and AB5000. The Company's products are used in the cardiac catheterization lab (cath lab), by interventional cardiologists, the electrophysiology lab, the hybrid lab and in the heart surgery suite by heart surgeons."
ABR,"Arbor Realty Trust, Inc. is a real estate investment trust. The Company invests in a portfolio of structured finance assets in the multifamily and commercial real estate markets, primarily consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred and direct equity. Its segments include Structured Business and Agency Business. In addition, the Company may also directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. It focuses on investment types, such as Bridge Financing, Mezzanine Financing, Junior Participation Financing and Preferred Equity Investments. It offers bridge financing products to borrowers, typically seeking short-term capital to use in an acquisition of property. It offers mezzanine financing in the form of loans that are subordinate to a conventional first mortgage loan and senior to the borrower's equity in a transaction."
ABT,"Abbott Laboratories is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products and Vascular Products. Its Established Pharmaceutical Products include a range of branded generic pharmaceuticals manufactured around the world and marketed and sold outside the United States. Its Diagnostic Products include a range of diagnostic systems and tests. Its Nutritional Products include a range of pediatric and adult nutritional products. Its Company's Vascular Products include a range of coronary, endovascular, vessel closure and structural heart devices for the treatment of vascular disease. The Company, through St. Jude Medical, Inc., also offers products, such as rhythm management products, electrophysiology products, heart failure related products, vascular products, structural heart products and neuromodulation products."
ABTL,"Autobytel Inc. is an automotive marketing services company that assists automotive retail dealers and automotive manufacturers market and sell new and used vehicles to consumers through the programs for online lead referrals, dealer marketing products and services, and online advertising programs and mobile products. The Company operates through providing automotive marketing services segment. Its consumer-facing automotive Websites, including Website Autobytel.com, provide consumers with information and tools to aid them with the automotive purchase decisions and ability to submit inquiries requesting dealers to contact the consumers regarding purchasing or leasing vehicles. Its AutoWeb pay-per-click advertising marketplace program uses technology to refer consumer traffic to dealers and manufacturer Websites. For consumers who may not be able to secure loans through conventional lending sources, the Websites provide these consumers the ability to submit inquiries requesting dealers."
ACAD,"ACADIA Pharmaceuticals Inc. is a biopharmaceutical company. The Company is focused on the development and commercialization of medicines for central nervous system (CNS) disorders. Its lead drug candidate, NUPLAZID (pimavanserin), is used for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis (PD Psychosis). NUPLAZID is a selective serotonin inverse agonist (SSIA), preferentially targeting 5-HT2A receptors. The Company is conducting a Phase II trial, referred to as the SERENE Study, designed to examine the efficacy and safety of pimavanserin as a treatment for Alzheimer's disease (AD) Agitation. It is also conducting a Phase III, six-week, randomized, double-blind, placebo-controlled, multi-center, outpatient study, referred to as the ENHANCE-1 study, designed to examine the use of pimavanserin in patients with schizophrenia."
ACAS,"Acas LLC., formerly American Capital, Ltd. (American Capital) is a global asset manager and private equity firm. American Capital, both directly and through its asset management business, originates, underwrites and manages investments in middle market private equity, leveraged finance, real estate, energy and structured products. It primarily invests in senior and mezzanine debt and equity in buyouts of private companies sponsored by the Company (American Capital One Stop Buyouts) or sponsored by other private equity funds and provide capital directly to early-stage and mature private and small public companies (Sponsor Finance and Other Investments). It also invests in first and second lien floating rate loans to the United States-based companies (Senior Floating Rate Loans or SFRL) and structured finance investments (Structured Products), including collateralized loan obligation (CLO) securities and commercial mortgages, and commercial mortgage backed securities (CMBS)."
ACAT,"Arctic Cat Inc. (Arctic Cat) designs, engineers, manufactures and markets snowmobiles and all-terrain vehicles (ATVs) and recreational off-highway vehicles (side-by-sides or ROVs), as well as related parts, garments and accessories (PG&A). The Company offers its products under the Arctic Cat and MotorFist brand names. The Company operates through two segments: snowmobile and ATV/ROV, and PG&A. The Company produces a line of snowmobiles, consisting of approximately 60 models, marketed under the Arctic Cat brand name. Its ATVs line includes approximately 30 models. The Company offers a total of approximately 16 models under ROVs. The Company provides Arctic Cat Snowmobile, ATV and ROV parts, garments and accessories. It markets its products through a network of independent dealers located throughout the United States, Canada and Europe, and through distributors representing dealers in Europe, Russia, South America, the Middle East, China, Asia and other international markets."
ACC,"American Campus Communities, Inc. is a self-managed and self-administered equity real estate investment trust (REIT). The Company's segments include Wholly-Owned Properties, On-Campus Participating Properties, Development Services, and Property Management Services. It is engaged in the acquisition, design, financing, development, construction management, leasing and management of student housing properties. The Wholly-Owned Properties segment consists of off-campus properties, which are located in close proximity to the school campus. The On-Campus Participating Properties segment includes on-campus properties that are operated under long-term ground/facility leases with three university systems. The Development Services segment consists of development and construction management services that it provides through one of its taxable REIT subsidiaries for third-party owners. The Property Management Services segment includes revenues generated from third-party management contracts."
ACCO,"ACCO Brands Corporation is engaged in designing, marketing and manufacturing of branded business, academic and selected consumer products. The Company operates through three segments: ACCO Brands North America, ACCO Brands International and Computer Products Group. The Company's brands include Artline, AT-A-GLANCE, Derwent, Esselte, Five Star, GBC, Hilroy, Kensington, Leitz, Marbig, Mead, NOBO, Quartet, Rapid, Rexel, Swingline, Tilibra and Wilson Jones. The Company's ACCO Brands North America and ACCO Brands International design, market, source, manufacture and sell traditional office products, academic supplies and calendar products. ACCO Brands North America consists of the United States and Canada, and ACCO Brands International consists of the rest of the world, primarily Northern Europe, Australia, Brazil and Mexico. Its Computer Products Group designs, sources, distributes, markets and sells accessories for laptop and desktop computers and tablets."
ACET,"Aceto Corporation (Aceto) is engaged in the marketing, sales and distribution of finished dosage form generic pharmaceuticals, nutraceutical products, pharmaceutical active ingredients and intermediates, specialty performance chemicals inclusive of agricultural intermediates and agricultural protection products. The Company's business is organized along product lines into three segments: Human Health, Pharmaceutical Ingredients and Performance Chemicals. As of June 30, 2016, it distributed over 1,100 chemical compounds used primarily as finished products or raw materials in the agricultural, coatings and industrial chemical industries. The Human Health segment includes finished dosage form generic drugs and nutraceutical products. As of June 30, 2016, the Pharmaceutical Ingredients segment had two product groups: Active Pharmaceutical Ingredients and Pharmaceutical Intermediates. The Performance Chemicals segment includes specialty chemicals and agricultural protection products."
ACFC,"Atlantic Coast Financial Corporation is a thrift holding company. The Company, through its subsidiary, Atlantic Coast Bank (the Bank), a federally chartered and insured stock savings bank supervised by the Office of the Comptroller of the Currency (the OCC), serves the Northeast Florida, Central Florida and Southeast Georgia markets. The Bank focuses on attracting deposits and investing those funds primarily in loans, including commercial real estate loans, consumer loans, first mortgages on owner-occupied, one- to four-family residences and home equity loans. Additionally, the Bank invests funds in multi-family residential loans, commercial business loans, and commercial and residential construction loans. The Bank originates commercial real estate loans and commercial and industrial loans with small to mid-size businesses for the purposes of purchasing real estate and inventory, financing equipment, and providing working capital."
ACFN,"Acorn Energy, Inc. is a holding company that focuses on technology driven solutions for energy infrastructure asset management. The Company's segments include Energy & Security Sonar Solutions (DSIT), Smart Grid Distribution Automation (GridSense) and Machine-to-Machine Critical Asset Monitoring & Control (M2M). The DSIT segment provides sonar and acoustic related solutions for energy, defense and commercial markets with a focus on underwater site security for strategic energy installations and other sonar and acoustic systems. The GridSense segment includes products and services that are provided by GridSense Inc. (GridSense), which develops markets and sells remote monitoring and control systems to electric utilities and industrial facilities across the world. The M2M segment includes products and services that are provided by OmniMetrix, LLC (OmniMetrix). OmniMetrix offers over two primary product lines, such as the Hero Rectifier Monitor and the Patriot Automated Test Stations."
ACHC,"Acadia Healthcare Company, Inc. is a provider of behavioral healthcare services, with operations in the United States and the United Kingdom. The Company focuses on acquiring and developing behavioral healthcare facilities. The Company operates through two segments: U.S. Facilities and U.K. Facilities. The Company is engaged in operating acute inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers and facilities providing outpatient behavioral healthcare services. As of December 31, 2016, the U.S. Facilities segment included 208 behavioral healthcare facilities with approximately 8,500 beds in 39 states and Puerto Rico, and the U.K. Facilities segment included 365 behavioral healthcare facilities with approximately 8,600 beds in the United Kingdom. As of December 31, 2016, the Company had operated 573 behavioral healthcare facilities with approximately 17,100 beds in 39 states, the United Kingdom and Puerto Rico."
ACHN,"Achillion Pharmaceuticals, Inc. is a biopharmaceutical company. The Company is engaged in the discovery and development of small molecule drug therapies for infectious diseases and immune system disorders. The Company is focused on its complement inhibitor platform, directed at advancing small molecule compounds that have the potential to be used in the treatment of immune-related diseases associated with the alternative pathway of the complement system. The complement system is part of the human innate immune system. Its clinical compound from its complement inhibitor platform is ACH-4471. ACH-4471 is a potent and specific inhibitor of factor D, which demonstrated complete inhibition of the complement alternative pathway in human healthy volunteers in a Phase I clinical trial. The Company has discovered and advanced multiple compounds into clinical development, including sovaprevir, odalasvir, and ACH-3422 in its hepatitis C virus (HCV) program."
ACI,"ACI Worldwide, Inc. develops, markets, installs and supports a line of software products and services primarily focused on facilitating electronic payments. The Company also distributes or acts as a sales agent for software developed by third parties. Its products and services are used principally by financial institutions, retailers, billers and electronic payment processors, both in domestic and international markets. The Company's products are sold and supported through distribution networks covering three geographic regions, including the Americas, Europe/Middle East/Africa (EMEA) and Asia/Pacific. The Company's products and services are used by a range of transaction-generating endpoints, including automated teller machines (ATM), retail merchant point-of-sale (POS) terminals, bank branches, corporations and Internet commerce sites. The Company provides payment solutions to financial institutions globally for both retail banking and transaction banking services."
ACIW,"ACI Worldwide, Inc. develops, markets, installs and supports a line of software products and services primarily focused on facilitating electronic payments. The Company also distributes or acts as a sales agent for software developed by third parties. Its products and services are used principally by financial institutions, retailers, billers and electronic payment processors, both in domestic and international markets. The Company's products are sold and supported through distribution networks covering three geographic regions, including the Americas, Europe/Middle East/Africa (EMEA) and Asia/Pacific. The Company's products and services are used by a range of transaction-generating endpoints, including automated teller machines (ATM), retail merchant point-of-sale (POS) terminals, bank branches, corporations and Internet commerce sites. The Company provides payment solutions to financial institutions globally for both retail banking and transaction banking services."
ACLS,"Axcelis Technologies, Inc. designs, manufactures and services ion implantation and other processing equipment used in the fabrication of semiconductor chips. The Company also provides aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services and customer training. The Company offers a complete line of high energy, high current and medium current implanters for all application requirements. The Company's Purion XE high energy system combines its radio frequency (RF) Linac high energy, spot beam technology with the Purion platform. The Company also offers the Purion M medium current system. The Company's Purion M systems also offer differentiation for specialty applications, such as hot silicon carbide. The Company's Purion H high current system is extendable into ultra-low energy applications to satisfy future process requirements, including leakage current performance."
ACM,"AECOM is engaged in designing, building, financing and operating infrastructure assets for governments, businesses and organizations. The Company's segments include design and consulting services (DCS), construction services (CS) and management services (MS). Its DCS segment is engaged in planning, consulting, architectural and engineering design services to commercial and government clients in major end markets, such as transportation, facilities, environmental, energy, water and government. Its CS segment is engaged in construction services, including building construction and energy, infrastructure and industrial construction, primarily in the Americas. Its MS segment is engaged in programming and facilitating management and maintenance, training, logistics, consulting, technical assistance, and systems integration and information technology services, primarily for agencies of the United States government and other national governments."
ACNB,"ACNB Corporation is a financial holding company. The Company's banking operations are conducted through its operating subsidiary, ACNB Bank (the Bank), and offers a range of property and casualty, life and health insurance to both commercial and individual clients through its subsidiary, Russell Insurance Group, Inc. (RIG). The Company has two segments: the Bank and RIG. RIG is managed separately from the banking segment, which includes the Bank and related financial services that the Company offers through its banking subsidiary. Through its banking and nonbanking subsidiaries, the Company provides a range of banking and financial services to individuals and businesses, including commercial and retail banking, trust and investment management, and insurance. ACNB Bank is a commercial bank. ACNB Bank's service delivery channels for its customers include the automated teller machine (ATM) network, customer contact center, online, telephone and mobile banking."
ACOR,"Acorda Therapeutics, Inc. is a biopharmaceutical company. The Company focuses on developing therapies that restore function and improve the lives of people with neurological disorders. As of December 31, 2016, the Company marketed three United States Food and Drug Administration (FDA)-approved therapies, including Ampyra (dalfampridine) Extended Release Tablets, 10 milligram (mg), a treatment to improve walking in patients with multiple sclerosis (MS). The Company also markets Zanaflex Capsules and tablets, FDA-approved as short-acting drugs for the management of spasticity, and Qutenza, an FDA-approved dermal patch for the management of neuropathic pain associated with post-herpetic neuralgia, also known as post-shingles pain. The Company has a pipeline of neurological therapies addressing a range of disorders, including Parkinson's disease, migraine and MS. The Company's product candidate, CVT-301, is a self-administered inhaled formulation of levodopa."
ACRE,"Ares Commercial Real Estate Corporation is a specialty finance company. The Company is primarily engaged in originating and investing in commercial real estate (CRE) loans and related investments. The Company operates through principal lending segment. Its target investments include senior mortgage loans, subordinated debt, preferred equity, mezzanine loans and other CRE investment opportunities, including commercial mortgage-backed securities. These investments are generally held for investment and are secured, directly or indirectly, by office, multifamily, retail, industrial, lodging, senior-living, self-storage and other commercial real estate properties, or by ownership interests therein. Through the Company's manager, Ares Commercial Real Estate Management LLC, it has investment professionals located across the United States and Europe who directly source loan opportunities for the Company with owners, operators and sponsors of CRE properties."
ACRX,"AcelRx Pharmaceuticals, Inc. is a pharmaceutical company focused on the development and commercialization of therapies for the treatment of moderate-to-severe acute pain. The Company operates through the segment, which includes development and commercialization of product candidates for the treatment of pain. Its lead product candidates include ARX-04, Zalviso, which utilize sublingual sufentanil, delivered through a non-invasive route of administration, and ARX-03. ARX-04 is meant for the treatment of moderate-to-severe acute pain to be administered by a healthcare professional to a patient in medically supervised settings. Zalviso is meant for the management of moderate-to-severe acute pain in hospitalized adult patients. ARX-03 provides mild sedation, anxiety reduction and pain relief for patients undergoing painful procedures in a physician's office. It also includes ARX-02, which is meant for the treatment of patients who suffer from breakthrough pain (BTP) due to cancer."
